"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/3489a69170fecee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Smint.io","Austria - smint.io","2 pages viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/about/",2,2,2,"Aug 3, 2023",,,
"/discover/account/detail/3489a69170fecee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Smint.io","Austria - smint.io","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/about/",1,,1,"Aug 3, 2023",1,,
"/discover/account/detail/3489a69170fecee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Smint.io","Austria - smint.io","5 pages viewed a total of 5 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/resources/webinars/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/, https://tenovos.com/resources/events/, https://tenovos.com/thank-you-for-registering-for-our-webinar/, https://tenovos.com/bringing-content-to-life-with-brand-portals/",5,5,1,"Aug 2, 2023",,,
"/discover/account/detail/3489a69170fecee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Smint.io","Austria - smint.io","3 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/resources/webinars/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/, https://tenovos.com/, https://tenovos.com/thank-you-for-registering-for-our-webinar/",3,,1,"Aug 2, 2023",3,,
"/discover/account/detail/3489a69170fecee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Smint.io","Austria - smint.io","2 pages viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/",2,2,2,"Aug 1, 2023",,,
"/discover/account/detail/3489a69170fecee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Smint.io","Austria - smint.io","2 pages clicked a total of 3 times by 2 Anonymous users","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/",2,,2,"Aug 1, 2023",3,,
"/discover/account/detail/3489a69170fecee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Smint.io","Austria - smint.io","2 pages viewed a total of 5 times by 2 Anonymous users","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/why/digital-asset-management-system/",2,5,2,"Jul 31, 2023",,,
"/discover/account/detail/3489a69170fecee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Smint.io","Austria - smint.io","2 pages clicked a total of 4 times by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/why/digital-asset-management-system/",2,,1,"Jul 31, 2023",4,,
"/discover/account/detail/3489a69170fecee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Smint.io","Austria - smint.io","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/",1,1,1,"Jul 26, 2023",,,
"/discover/account/detail/3489a69170fecee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Smint.io","Austria - smint.io","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/",1,,1,"Jul 26, 2023",1,,
