"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/ff3fbc659559222/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sprout Social","United States - sproutsocial.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 21, 2023",,,
"/discover/account/detail/ff3fbc659559222/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sprout Social","United States - sproutsocial.com","2 pages viewed a total of 3 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/",,,1,"Jul 20, 2023",2,3,
"/discover/account/detail/ff3fbc659559222/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sprout Social","United States - sproutsocial.com","3 pages clicked a total of 4 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/, https://tenovos.com/about/#leadership",,,1,"Jul 20, 2023",3,,4
"/discover/account/detail/ff3fbc659559222/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sprout Social","United States - sproutsocial.com","2 pages viewed a total of 4 times by 2 Anonymous users","https://tenovos.com/about/, https://tenovos.com/",,,2,"Jul 19, 2023",2,4,
"/discover/account/detail/ff3fbc659559222/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sprout Social","United States - sproutsocial.com","2 pages clicked a total of 4 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/about/#leadership",,,1,"Jul 19, 2023",2,,4
"/discover/account/detail/ff3fbc659559222/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sprout Social","United States - sproutsocial.com","2 keywords researched a total of 4 times by 2 anonymous users","content hub, content delivery network",2,4,2,"Jul 16, 2023",,,
"/discover/account/detail/ff3fbc659559222/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sprout Social","United States - sproutsocial.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 7, 2023",,,
"/discover/account/detail/ff3fbc659559222/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sprout Social","United States - sproutsocial.com","2 keywords researched a total of 2 times by 2 anonymous users","dam europe, product information management",2,2,2,"Jun 26, 2023",,,
"/discover/account/detail/ff3fbc659559222/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sprout Social","United States - sproutsocial.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 22, 2023",,,
"/discover/account/detail/ff3fbc659559222/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sprout Social","United States - sproutsocial.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 12, 2023",,,
