"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/937463bedac9961/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Juice","Kenya - thejuicehq.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/webinars/the-impact-of-ai-on-digital-asset-management-key-skills-for-dam-managers-to-stay-competitive/",1,1,1,"Aug 3, 2023",,,
"/discover/account/detail/937463bedac9961/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Juice","Kenya - thejuicehq.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/webinars/the-impact-of-ai-on-digital-asset-management-key-skills-for-dam-managers-to-stay-competitive/",1,,1,"Aug 3, 2023",1,,
"/discover/account/detail/937463bedac9961/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Juice","Kenya - thejuicehq.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Aug 2, 2023",,1,1
"/discover/account/detail/937463bedac9961/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Juice","Kenya - thejuicehq.com","4 pages viewed a total of 4 times by 1 Anonymous user","https://tenovos.com/resources/blog/lesser-known-dam-features/, https://tenovos.com/resources/blog/power-of-generative-ai-addressing-rights-and-licensing-challenges/, https://tenovos.com/resources/blog/enterprise-dam-for-existing-processes/, https://tenovos.com/resources/blog/the-price-of-being-dam-less-6-surprising-costs-you-may-be-incurring/",4,4,1,"Aug 1, 2023",,,
"/discover/account/detail/937463bedac9961/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Juice","Kenya - thejuicehq.com","2 pages viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/resources/blog/ai-digital-asset-management/, https://tenovos.com/resources/webinars/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/",2,2,2,"Jul 20, 2023",,,
"/discover/account/detail/937463bedac9961/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Juice","Kenya - thejuicehq.com","2 pages clicked a total of 2 times by 2 Anonymous users","https://tenovos.com/resources/blog/ai-digital-asset-management/, https://tenovos.com/resources/webinars/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/",2,,2,"Jul 20, 2023",2,,
"/discover/account/detail/937463bedac9961/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Juice","Kenya - thejuicehq.com","2 pages viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/resources/blog/ai-digital-asset-management/, https://tenovos.com/resources/webinars/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/",2,2,2,"Jul 19, 2023",,,
"/discover/account/detail/937463bedac9961/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Juice","Kenya - thejuicehq.com","1 page clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/resources/blog/ai-digital-asset-management/",1,,1,"Jul 19, 2023",3,,
"/discover/account/detail/937463bedac9961/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Juice","Kenya - thejuicehq.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Jul 19, 2023",,1,1
"/discover/account/detail/937463bedac9961/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Juice","Kenya - thejuicehq.com","1 keyword researched a total of 4 times by 1 anonymous user","content hub",,,1,"Jul 6, 2023",,1,4
