"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/20385865d8c86b5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Tufts University","United States - tufts.edu","2 keywords researched a total of 2 times by 2 anonymous users","hyland, taxonomy",2,2,2,"Aug 2, 2023",,,
"/discover/account/detail/20385865d8c86b5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Tufts University","United States - tufts.edu","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 31, 2023",,,
"/discover/account/detail/20385865d8c86b5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Tufts University","United States - tufts.edu","3 keywords researched a total of 4 times by 4 anonymous users","aem, widen, marketing performance",3,4,4,"Jul 30, 2023",,,
"/discover/account/detail/20385865d8c86b5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Tufts University","United States - tufts.edu","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 29, 2023",,,
"/discover/account/detail/20385865d8c86b5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Tufts University","United States - tufts.edu","4 keywords researched a total of 8 times by 4 anonymous users","canto, hyland, aem, marketing performance",4,8,4,"Jul 28, 2023",,,
"/discover/account/detail/20385865d8c86b5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Tufts University","United States - tufts.edu","5 keywords researched a total of 5 times by 5 anonymous users","dam new york, Informatica, bynder, taxonomy, content hub",5,5,5,"Jul 27, 2023",,,
"/discover/account/detail/20385865d8c86b5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Tufts University","United States - tufts.edu","3 keywords researched a total of 4 times by 3 anonymous users","brandfolder, hyland, sitecore",3,4,3,"Jul 26, 2023",,,
"/discover/account/detail/20385865d8c86b5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Tufts University","United States - tufts.edu","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/platform/storylink-creative-content/",,,1,"Jul 25, 2023",1,1,
"/discover/account/detail/20385865d8c86b5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Tufts University","United States - tufts.edu","1 page clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/platform/storylink-creative-content/",,,1,"Jul 25, 2023",1,,3
"/discover/account/detail/20385865d8c86b5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Tufts University","United States - tufts.edu","3 keywords researched a total of 3 times by 3 anonymous users","widen, hyland, taxonomy",3,3,3,"Jul 25, 2023",,,
