"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked"
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 24, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","2 pages viewed a total of 3 times by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/thank-you-for-registering-to-our-webinar/",2,3,1,"Jul 18, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/",1,,1,"Jul 18, 2023",1
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","7 pages viewed a total of 9 times by 1 Anonymous user","https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/thank-you-for-downloading-our-user-adoption-toolkit/, https://tenovos.com/resources/#guides, https://tenovos.com/resources/#tools, https://tenovos.com/user-adoption-toolkit/, https://tenovos.com/, https://tenovos.com/tenovos-rfp-template-download/",7,9,1,"Jul 13, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","6 pages clicked a total of 13 times by 1 Anonymous user","https://tenovos.com/tenovos-rfp-template-download/, https://tenovos.com/resources/#tools, https://tenovos.com/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/resources/#guides, https://tenovos.com/thank-you-for-downloading-our-user-adoption-toolkit/",6,,1,"Jul 13, 2023",13
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/",1,2,1,"Jul 12, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 12, 2023",1
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","2 pages viewed a total of 7 times by 6 Anonymous users","https://tenovos.com/press/tenovos-unite-students/, https://tenovos.com/platform/",2,7,6,"Jul 4, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page clicked a total of 11 times by 6 Anonymous users","https://tenovos.com/press/tenovos-unite-students/",1,,6,"Jul 4, 2023",11
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/",1,2,1,"Jun 19, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Jun 19, 2023",1
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","5 pages viewed a total of 5 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/customers/, https://tenovos.com/platform/content-storyboards/, https://tenovos.com/about/, https://tenovos.com/resources/ebooks-digital-assets-data/data-in-dam/",5,5,1,"Jun 14, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","3 pages clicked a total of 4 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/resources/ebooks-digital-assets-data/data-in-dam/, https://tenovos.com/about/",3,,1,"Jun 14, 2023",4
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"May 31, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"May 22, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"May 22, 2023",1
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"May 16, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"May 16, 2023",1
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","4 pages viewed a total of 4 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/resources/, https://tenovos.com/press/tenovos-unite-students/, https://tenovos.com/why/",4,4,2,"Apr 13, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","3 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/resources/, https://tenovos.com/why/",3,,1,"Apr 13, 2023",3
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","2 pages viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/about/, https://tenovos.com/",2,2,2,"Mar 30, 2023",
