"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 19, 2023",,,
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 page viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/",,,2,"Jul 13, 2023",1,2,
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 page clicked a total of 2 times by 2 Anonymous users","https://tenovos.com/",,,2,"Jul 13, 2023",1,,2
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 keyword researched a total of 2 times by 1 anonymous user","opentext",1,2,1,"Jun 15, 2023",,,
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 30, 2023",,,
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 keyword researched a total of 7 times by 1 anonymous user","smartsheet",1,7,1,"Apr 10, 2023",,,
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 7, 2023",,,
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 31, 2023",,,
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Mar 29, 2023",,,
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"Mar 26, 2023",,,
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Mar 22, 2023",,,
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Mar 3, 2023",,,
"/discover/account/detail/3f0270796ab636b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Upland Software","United States - uplandsoftware.com","1 keyword researched a total of 2 times by 2 anonymous users","workflow automation",1,2,2,"Mar 2, 2023",,,
