"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked"
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/assembling-your-dam-dream-team/",1,1,1,"Aug 3, 2023",,,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Aug 2, 2023",1,1,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/interpreting-forrester-wave-dam-on-customer-experience/",1,1,1,"Aug 1, 2023",,,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","4 keywords researched a total of 7 times by 5 anonymous users","aem, hyland, content hub, workflow automation",,,5,"Aug 1, 2023",4,7,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","6 keywords researched a total of 9 times by 7 anonymous users","Informatica, smartsheet, smartsheet pricing, sitecore, marketing performance, content hub",,,7,"Jul 31, 2023",6,9,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, taxonomy",,,2,"Jul 30, 2023",2,2,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","3 keywords researched a total of 14 times by 5 anonymous users","canto, marketing performance, review of assets",,,5,"Jul 29, 2023",3,14,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","6 keywords researched a total of 8 times by 5 anonymous users","canto, smartsheet, smartsheet pricing, hyland, marketing performance, content hub",,,5,"Jul 28, 2023",6,8,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, taxonomy",,,2,"Jul 27, 2023",2,2,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","2 keywords researched a total of 8 times by 4 anonymous users","smartsheet, taxonomy",,,4,"Jul 26, 2023",2,8,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/resources/blog/interpreting-forrester-wave-dam-on-customer-experience/, https://tenovos.com/forrester-wave-digital-asset-management-2022/",2,2,1,"Jul 25, 2023",,,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","2 pages clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/resources/blog/interpreting-forrester-wave-dam-on-customer-experience/, https://tenovos.com/forrester-wave-digital-asset-management-2022/",2,,1,"Jul 25, 2023",,,2
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","4 keywords researched a total of 5 times by 5 anonymous users","canto, content delivery network, taxonomy, marketing performance",,,5,"Jul 25, 2023",4,5,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",,,1,"Jul 24, 2023",1,1,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","2 keywords researched a total of 4 times by 3 anonymous users","hyland, dam new york",,,3,"Jul 23, 2023",2,4,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","3 keywords researched a total of 4 times by 3 anonymous users","canto, pim, content hub",,,3,"Jul 22, 2023",3,4,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","3 keywords researched a total of 4 times by 4 anonymous users","hyland, marketing performance, workflow automation",,,4,"Jul 21, 2023",3,4,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","4 keywords researched a total of 11 times by 6 anonymous users","hyland, aem, marketing performance, content hub",,,6,"Jul 20, 2023",4,11,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","4 keywords researched a total of 6 times by 4 anonymous users","hyland, pim, taxonomy, marketing performance",,,4,"Jul 19, 2023",4,6,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","2 keywords researched a total of 5 times by 3 anonymous users","taxonomy, marketing performance",,,3,"Jul 18, 2023",2,5,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","3 keywords researched a total of 3 times by 3 anonymous users","content hub, marketing performance, taxonomy",,,3,"Jul 17, 2023",3,3,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","2 keywords researched a total of 6 times by 2 anonymous users","canto, taxonomy",,,2,"Jul 16, 2023",2,6,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","2 keywords researched a total of 2 times by 1 anonymous user","hyland, hyland reviews",,,1,"Jul 15, 2023",2,2,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","1 keyword researched a total of 6 times by 5 anonymous users","widen",,,5,"Jul 14, 2023",1,6,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","5 keywords researched a total of 12 times by 8 anonymous users","widen, smartsheet, taxonomy, marketing performance, content hub",,,8,"Jul 13, 2023",5,12,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","4 keywords researched a total of 6 times by 4 anonymous users","widen, digital asset management, content hub, marketing performance",,,4,"Jul 12, 2023",4,6,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","6 keywords researched a total of 8 times by 7 anonymous users","smartsheet, pim, widen, dam manager, content delivery network, workflow automation",,,7,"Jul 11, 2023",6,8,
"/discover/account/detail/5833e9d9f07e952/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Walt Disney Company","United States - disney.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/platform/story-management/, https://tenovos.com/platform/dam-admin-roles-configurations/",2,2,1,"Jul 10, 2023",,,
