"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 28, 2023",,,
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 27, 2023",,,
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 26, 2023",,,
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, taxonomy",2,3,2,"Jul 25, 2023",,,
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, taxonomy",2,2,2,"Jul 24, 2023",,,
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","2 keywords researched a total of 3 times by 2 anonymous users","aem, content hub",2,3,2,"Jul 23, 2023",,,
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 21, 2023",,,
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","2 pages viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/thank-you-for-registering-to-our-webinar/, https://tenovos.com/bringing-content-to-life-with-brand-portals/",,,2,"Jul 20, 2023",2,2,
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","2 pages clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/thank-you-for-registering-to-our-webinar/, https://tenovos.com/bringing-content-to-life-with-brand-portals/",,,1,"Jul 20, 2023",2,,2
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 20, 2023",,,
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 19, 2023",,,
"/discover/account/detail/435a2fe48d17257/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Wisconsin Alumni Association","United States - uwalumni.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 18, 2023",,,
