"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/46544984b2a45a4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Xplornet Communications","Canada - xplornet.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 31, 2023",,,
"/discover/account/detail/46544984b2a45a4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Xplornet Communications","Canada - xplornet.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 30, 2023",,,
"/discover/account/detail/46544984b2a45a4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Xplornet Communications","Canada - xplornet.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 27, 2023",,,
"/discover/account/detail/46544984b2a45a4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Xplornet Communications","Canada - xplornet.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 24, 2023",,,
"/discover/account/detail/46544984b2a45a4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Xplornet Communications","Canada - xplornet.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/",,,1,"Jul 18, 2023",1,1,
"/discover/account/detail/46544984b2a45a4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Xplornet Communications","Canada - xplornet.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/",,,1,"Jul 18, 2023",1,,2
"/discover/account/detail/46544984b2a45a4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Xplornet Communications","Canada - xplornet.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 17, 2023",,,
"/discover/account/detail/46544984b2a45a4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Xplornet Communications","Canada - xplornet.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 14, 2023",,,
"/discover/account/detail/46544984b2a45a4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Xplornet Communications","Canada - xplornet.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Jul 10, 2023",,,
"/discover/account/detail/46544984b2a45a4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Xplornet Communications","Canada - xplornet.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 8, 2023",,,
